,date,team,elo
0,2023-12-04,minnesota,1304.0
1,2023-12-04,boston,1295.0
129,2023-12-04,toronto,1305.0
128,2023-12-04,ottawa,1296.0


2,2023-12-05,montreal,1303.0
4,2023-12-05,new_york,1304.0

130,2023-12-05,boston,1292.0
132,2023-12-05,montreal,1299.0
3,2023-12-05,toronto,1302.0
131,2023-12-05,minnesota,1307.0


5,2023-12-06,ottawa,1293.0
133,2023-12-06,new_york,1307.0
7,2023-12-07,toronto,1298.0
135,2023-12-07,new_york,1311.0
136,2023-12-07,montreal,1297.0
6,2023-12-07,boston,1295.0
134,2023-12-07,ottawa,1290.0
8,2023-12-07,minnesota,1309.0
137,2024-01-01,new_york,1317.0
9,2024-01-01,toronto,1292.0
138,2024-01-03,montreal,1300.0
10,2024-01-03,ottawa,1287.0
139,2024-01-04,minnesota,1312.0
11,2024-01-04,boston,1292.0
140,2024-01-06,toronto,1295.0
141,2024-01-06,montreal,1296.0
12,2024-01-06,new_york,1314.0
13,2024-01-06,minnesota,1316.0
143,2024-01-11,toronto,1292.0
142,2024-01-11,montreal,1302.0
14,2024-01-11,new_york,1308.0
15,2024-01-11,minnesota,1319.0
16,2024-01-13,toronto,1286.0
144,2024-01-13,ottawa,1293.0
17,2024-01-13,montreal,1299.0
145,2024-01-13,boston,1295.0
146,2024-01-14,new_york,1311.0
18,2024-01-14,minnesota,1316.0
147,2024-01-17,new_york,1309.0
19,2024-01-17,montreal,1301.0
148,2024-01-18,minnesota,1319.0
20,2024-01-18,ottawa,1290.0
21,2024-01-18,toronto,1283.0
149,2024-01-18,boston,1298.0
22,2024-01-20,boston,1293.0
150,2024-01-20,new_york,1314.0
23,2024-01-21,montreal,1298.0
151,2024-01-21,toronto,1286.0
152,2024-01-24,toronto,1283.0
24,2024-01-24,ottawa,1293.0
153,2024-01-25,boston,1296.0
26,2024-01-25,minnesota,1316.0
25,2024-01-25,ottawa,1290.0
154,2024-01-25,montreal,1301.0
156,2024-01-27,ottawa,1288.0
157,2024-01-27,minnesota,1314.0
155,2024-01-27,new_york,1310.0
27,2024-01-27,toronto,1287.0
28,2024-01-27,montreal,1303.0
29,2024-01-27,boston,1298.0
30,2024-01-28,new_york,1307.0
158,2024-01-28,minnesota,1317.0
31,2024-02-03,toronto,1291.0
159,2024-02-03,minnesota,1313.0
161,2024-02-04,montreal,1306.0
32,2024-02-04,ottawa,1285.0
33,2024-02-04,boston,1295.0
160,2024-02-04,new_york,1310.0
34,2024-02-15,boston,1291.0
35,2024-02-15,minnesota,1315.0
162,2024-02-15,toronto,1295.0
163,2024-02-15,ottawa,1283.0
164,2024-02-17,new_york,1313.0
38,2024-02-17,toronto,1299.0
37,2024-02-17,ottawa,1280.0
166,2024-02-17,montreal,1302.0
165,2024-02-17,minnesota,1318.0
36,2024-02-17,boston,1288.0
167,2024-02-18,minnesota,1316.0
39,2024-02-18,montreal,1304.0
168,2024-02-19,ottawa,1284.0
40,2024-02-19,boston,1284.0
169,2024-02-22,ottawa,1281.0
170,2024-02-22,montreal,1302.0
42,2024-02-22,new_york,1315.0
41,2024-02-22,boston,1287.0
171,2024-02-24,ottawa,1277.0
172,2024-02-24,new_york,1313.0
44,2024-02-24,toronto,1301.0
43,2024-02-24,montreal,1306.0
173,2024-02-25,boston,1292.0
45,2024-02-25,minnesota,1311.0
174,2024-02-28,toronto,1304.0
46,2024-02-28,minnesota,1308.0
175,2024-02-29,new_york,1309.0
47,2024-02-29,ottawa,1281.0
176,2024-03-02,toronto,1309.0
177,2024-03-02,boston,1289.0
49,2024-03-02,montreal,1309.0
48,2024-03-02,ottawa,1276.0
178,2024-03-03,minnesota,1312.0
50,2024-03-03,new_york,1305.0
179,2024-03-06,ottawa,1274.0
51,2024-03-06,minnesota,1314.0
52,2024-03-07,new_york,1302.0
181,2024-03-07,boston,1286.0
180,2024-03-07,montreal,1312.0
53,2024-03-07,toronto,1312.0
182,2024-03-09,montreal,1308.0
54,2024-03-09,toronto,1316.0
184,2024-03-10,ottawa,1279.0
183,2024-03-10,new_york,1300.0
56,2024-03-10,montreal,1303.0
55,2024-03-10,boston,1288.0
57,2024-03-14,minnesota,1318.0
185,2024-03-14,boston,1284.0
186,2024-03-16,new_york,1296.0
59,2024-03-16,boston,1286.0
58,2024-03-16,minnesota,1322.0
187,2024-03-16,ottawa,1277.0
188,2024-03-17,toronto,1319.0
60,2024-03-17,montreal,1300.0
190,2024-03-20,boston,1284.0
62,2024-03-20,toronto,1321.0
189,2024-03-20,ottawa,1283.0
61,2024-03-20,new_york,1290.0
63,2024-03-23,ottawa,1287.0
191,2024-03-23,toronto,1317.0
64,2024-03-24,minnesota,1324.0
192,2024-03-24,montreal,1298.0
65,2024-03-25,new_york,1292.0
193,2024-03-25,boston,1282.0
194,2024-04-18,minnesota,1322.0
66,2024-04-18,montreal,1300.0
67,2024-04-18,boston,1284.0
195,2024-04-18,toronto,1315.0
196,2024-04-20,toronto,1318.0
197,2024-04-20,minnesota,1317.0
68,2024-04-20,montreal,1297.0
69,2024-04-20,ottawa,1292.0
70,2024-04-20,new_york,1289.0
198,2024-04-20,boston,1287.0
199,2024-04-24,boston,1285.0
200,2024-04-24,new_york,1285.0
72,2024-04-24,montreal,1301.0
71,2024-04-24,ottawa,1294.0
202,2024-04-27,boston,1288.0
73,2024-04-27,ottawa,1290.0
74,2024-04-27,minnesota,1314.0
201,2024-04-27,montreal,1305.0
203,2024-04-28,toronto,1323.0
75,2024-04-28,new_york,1280.0
76,2024-04-30,new_york,1282.0
204,2024-04-30,ottawa,1288.0
205,2024-05-01,minnesota,1310.0
77,2024-05-01,toronto,1327.0
207,2024-05-04,minnesota,1306.0
206,2024-05-04,montreal,1303.0
79,2024-05-04,new_york,1286.0
78,2024-05-04,boston,1290.0
80,2024-05-05,toronto,1330.0
208,2024-05-05,ottawa,1285.0
81,2024-05-08,toronto,1334.0
209,2024-05-08,minnesota,1302.0
82,2024-05-09,montreal,1300.0
210,2024-05-09,boston,1293.0
83,2024-05-10,toronto,1337.0
211,2024-05-10,minnesota,1299.0
212,2024-05-11,boston,1296.0
84,2024-05-11,montreal,1297.0
86,2024-05-14,boston,1298.0
214,2024-05-14,montreal,1295.0
213,2024-05-14,toronto,1333.0
85,2024-05-14,minnesota,1303.0
87,2024-05-16,minnesota,1305.0
215,2024-05-16,toronto,1331.0
216,2024-05-17,minnesota,1311.0
88,2024-05-17,toronto,1325.0
89,2024-05-19,boston,1300.0
217,2024-05-19,minnesota,1309.0
90,2024-05-21,boston,1295.0
218,2024-05-21,minnesota,1314.0
219,2024-05-24,boston,1291.0
91,2024-05-24,minnesota,1318.0
92,2024-05-26,minnesota,1315.0
220,2024-05-26,boston,1294.0
93,2024-05-29,boston,1289.0
221,2024-05-29,minnesota,1320.0
94,2024-11-20,boston,1296.0
222,2024-11-20,montréal,1297.0
223,2024-11-20,toronto,1308.0
95,2024-11-20,minnesota,1312.0
96,2024-11-21,ottawa,1300.0
97,2024-11-21,new_york,1294.0
225,2024-11-21,minnesota,1308.0
224,2024-11-21,boston,1293.0
98,2024-11-22,montréal,1303.0
227,2024-11-22,new_york,1302.0
226,2024-11-22,ottawa,1296.0
99,2024-11-22,toronto,1296.0
101,2024-11-30,montréal,1303.0
229,2024-11-30,ottawa,1297.0
228,2024-11-30,boston,1296.0
100,2024-11-30,toronto,1300.0
102,2024-12-01,minnesota,1298.0
230,2024-12-01,new_york,1304.0
231,2024-12-04,toronto,1298.0
103,2024-12-04,ottawa,1301.0
233,2024-12-05,new_york,1306.0
232,2024-12-05,minnesota,1302.0
104,2024-12-05,boston,1296.0
105,2024-12-05,montréal,1296.0
235,2024-12-07,minnesota,1306.0
234,2024-12-07,montréal,1300.0
107,2024-12-07,toronto,1294.0
106,2024-12-07,ottawa,1298.0
236,2024-12-08,new_york,1299.0
108,2024-12-08,boston,1302.0
109,2024-12-18,boston,1303.0
237,2024-12-18,ottawa,1297.0
238,2024-12-19,toronto,1295.0
110,2024-12-19,new_york,1302.0
239,2024-12-20,ottawa,1295.0
111,2024-12-20,minnesota,1305.0
112,2024-12-21,toronto,1295.0
240,2024-12-21,montréal,1303.0
241,2024-12-22,minnesota,1305.0
113,2024-12-22,new_york,1298.0
114,2024-12-28,toronto,1301.0
243,2024-12-28,montréal,1304.0
242,2024-12-28,boston,1298.0
115,2024-12-28,minnesota,1299.0
244,2024-12-29,ottawa,1303.0
116,2024-12-29,new_york,1295.0
245,2024-12-31,boston,1296.0
117,2024-12-31,montréal,1305.0
118,2025-01-01,toronto,1298.0
246,2025-01-01,ottawa,1304.0
247,2025-01-03,boston,1296.0
119,2025-01-03,minnesota,1301.0
248,2025-01-04,new_york,1305.0
120,2025-01-04,minnesota,1295.0
249,2025-01-05,montréal,1299.0
121,2025-01-05,boston,1300.0
250,2025-01-08,ottawa,1304.0
122,2025-01-08,new_york,1299.0
251,2025-01-09,boston,1298.0
124,2025-01-09,toronto,1295.0
123,2025-01-09,minnesota,1301.0
252,2025-01-09,montréal,1303.0
253,2025-01-11,boston,1302.0
125,2025-01-11,ottawa,1298.0
127,2025-01-12,minnesota,1304.0
126,2025-01-12,new_york,1301.0
254,2025-01-12,toronto,1296.0
255,2025-01-12,montréal,1298.0
